DatasetName,NOPCHAP1_S(123) NOPCHAP1_S(14) NOPCHAP1_S(15) NOPCHAP1_S(170) NOPCHAP1_S(178) NOPCHAP1_S(34) NOPCHAP1_S(48) NOPCHAP1_S(66) NOPCHAP1_T(17),NOPCHAP1_S(10) NOPCHAP1_S(172) NOPCHAP1_S(181) NOPCHAP1_S(248) NOPCHAP1_S(8) NOPCHAP1_T(31)
NJH2024_Sub7_MICT_Pre,,
ZX2022_Control Replicate 1,0.59572363756654,
JJ2018_Ratio H/M normalized pP1,0.5556019490930334,
CK2022_16 40-1,0.5738325737388563,
AH2018_SILAC_IT_2_C,,
CK2022_5 40-1,0.5679742270901165,
AH2018_LFQ_3_X,,
UK2020_UA_3,,
LY2019_P7-,,
GF2025_P5_Adh,,
RB2022_1_PostStrength,,
JAW2011_Ratio H/L LS1b,0.5678722688937748,
FSO2013_Ratio H/L normalized Rep3___1,0.5704249316721406,
SR2019_HCC1954_Biol_repl_3,,
CR2017_Ratio Replicate 2.2,0.5779553144857761,
VOI2024_0.1uM 2 h_1 mono,,
MV2014_Ratio L/M normalized A2___1 (10 min),,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,
CK2022_11 16-1,0.5399559861198632,
ZQ2022_C1,,
CR2017_Ratio Replicate 2.1,0.5632261272534319,
PG2020_Intensity CT_B,0.6194388966002573,
JJ2018_Ratio M/L normalized___2,,
AH2018_SILAC_MR_1_N,,
KS2014_Intensity pY_E5_1,,
JW2021_Before_3,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,
MV2014_Ratio M/H normalized B3___3 (30 min),,
FS2019_db/db1,,
NJH2025_Sub9_HIIT_Pre,,
JAW2011_Ratio H/L_1,0.5561931924757925,
RCJD2014_20min_3,0.5676195058790241,
AH2018_LFQ_3_C,,
JJ2018_Ratio M/L normalized pP3___2,,
AMK2021_45I_p1,,
NJH2025_Sub8_HIIT_Post,,
AH2018_LFQ_M_3_X,,
YA2020_Reporter_intensity_Cancer_No.4,,
KS2014_Intensity pY_E5_2,,
FSO2013_Ratio H/L normalized Rep1___3,,
GF2025_P4_Sph,,
RB2022_2_PreEndurance,,
JW2021_Before_1,,
KBE2022_Log2_Ex_25_T,0.5668148017420757,
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,
MV2014_Ratio L/M normalized A2___2 (10 min),,
JJ2018_Ratio M/L normalized___1,0.5542668448039524,
FR2021_Intensity.H,,
CK2022_14 16-1,0.5736865999450843,
AST2020_anti-CD3+PDL2,,
MV2014_Ratio M/L normalized B1___1 (5 min),,
KBE2022_Log2_Ex_19_T,0.5658272512111655,
KS2014_Intensity pY_N1,,
RB2022_1_RecoveryEndurance,,
FSO2013_Ratio H/M normalized Rep1___2,,
HS2024_8_I_T1,0.5174599008504817,
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,
EP2017_Mitotic R#2 log2 ratio,0.5820775531423555,
AH2018_TMTMS2_1_X,0.5566331874543112,
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,0.5662851672994158,
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,
HS2024_6_I_N2,0.5088290229213732,
HH2022_Reporter intensity 4,,
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,0.5518731835759145,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,
HS2024_4_I_T3,0.5778557954554505,
AH2018_SILAC_1_X,,
PG2020_Intensity 10h_B,0.5691952369305073,
AH2018_TMTMS3_1_X,,
CF2017_FTE 14,0.5749498112694111,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,0.547737926855969,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.558310219198986,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,0.569777170324389,
EP2017_Untreated R#2 normalized log2 ratio,0.5808559092674908,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,
HS2024_5_I_N2,0.5004891618462202,
SAS2015_PLX/AZD_Exp3,0.5723569398287887,
EP2017_Pervanadate R#2 log2 ratio,0.5419958693099948,
AS2011_Ratio H/L Normalized RNAi_2_1,,
