DatasetName,FLYWCH2_S(13) FLYWCH2_S(17) FLYWCH2_S(48) FLYWCH2_S(67) FLYWCH2_S(7),FLYWCH2_S(15) FLYWCH2_S(21) FLYWCH2_T(26)
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,,
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,
HS2024_6_I_N2,,0.6139403192093592
HH2022_Reporter intensity 4,,0.6058247435018538
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,
HS2024_4_I_T3,,0.5995369366339482
AH2018_SILAC_1_X,,
PG2020_Intensity 10h_B,0.4680850488261804,0.5267021463701407
AH2018_TMTMS3_1_X,,
CF2017_FTE 14,,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,0.5687320080006575
PG2020_Intensity 6h_A,0.4834968972073984,0.5573784556612994
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,,0.6058068715292596
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,0.5797481503947661
HS2024_5_I_N2,,0.5332425446136101
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,,0.5573008492748973
AS2011_Ratio H/L Normalized RNAi_2_1,,
