DatasetName,ORC6_T(195) ORC6_T(229),ORC6_S(245)
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.48598752875823914,
SR2019_HCC1419_Biol_repl_3,0.31474127453291295,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.5106848997184519,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,0.586353522282919,
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.4522914345178386,
AS2011_Ratio H/L Normalized RNAi_2_1,,
