DatasetName,MMTAG2_S(155) MMTAG2_S(170) MMTAG2_S(178) MMTAG2_S(233),MMTAG2_S(11) MMTAG2_S(123) MMTAG2_S(125) MMTAG2_S(127) MMTAG2_S(164) MMTAG2_S(177) MMTAG2_S(209) MMTAG2_S(216) MMTAG2_S(217) MMTAG2_S(220) MMTAG2_S(225) MMTAG2_S(231) MMTAG2_S(235) MMTAG2_S(246) MMTAG2_S(261) MMTAG2_T(175) MMTAG2_T(215) MMTAG2_T(219)
RB2022_8_PreSprint,,
AH2018_SILAC_IT_3_C,,
WZ2023_Pu_025_10min,,0.5489511938683447
RM2024_Intensity D2-2___3,,
AS2011_Ratio H/L_1,,
RCJD2014_10min_3,,0.5667910359900717
FSO2013_Ratio M/L normalized Rep3___1,,0.5489630163470073
SR2019_JIMT1_Biol_repl_4,,
YP2020_Intensity C10_R2_mult_log2,,0.5493477313164778
ZCP2016_Ratio H/L Rep 2,,0.5386389476793115
CF2017_EOC 4,,0.5485778266630497
JJ2018_Ratio H/L normalized pP1___1,,
WZ2023_Pe_010_30min,,0.5496049552910436
MV2014_Ratio L/M normalized B2___3 (30 min),,
AH2018_LFQ_IT_3_N,,
KS2014_Intensity C6,,0.5347653920226342
ZQ2022_N3,,0.5245086119183262
HW2015_Ratio H/L normalized Exp1,,
CK2022_12 40-1,,0.5292053152380318
NJH2024_Sub7_MICT_Pre,,
ZX2022_Control Replicate 1,,0.5507983979222959
JJ2018_Ratio H/M normalized pP1,,
CK2022_16 40-1,,0.5399541990270169
AH2018_SILAC_IT_2_C,,
CK2022_5 40-1,,0.5336301037422047
AH2018_LFQ_3_X,,
UK2020_UA_3,,
LY2019_P7-,,0.5516244393332728
GF2025_P5_Adh,,0.5373255757120725
RB2022_1_PostStrength,,
JAW2011_Ratio H/L LS1b,,
FSO2013_Ratio H/L normalized Rep3___1,,0.5401522801637726
SR2019_HCC1954_Biol_repl_3,,
CR2017_Ratio Replicate 2.2,,0.5622236531805375
VOI2024_0.1uM 2 h_1 mono,,
MV2014_Ratio L/M normalized A2___1 (10 min),,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,
CK2022_11 16-1,,0.5240011922865941
ZQ2022_C1,,0.5648020814135215
CR2017_Ratio Replicate 2.1,,0.5446439817972529
PG2020_Intensity CT_B,,0.5656860448545713
JJ2018_Ratio M/L normalized___2,,
AH2018_SILAC_MR_1_N,,
KS2014_Intensity pY_E5_1,,
JW2021_Before_3,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,
MV2014_Ratio M/H normalized B3___3 (30 min),,
FS2019_db/db1,,
NJH2025_Sub9_HIIT_Pre,,
JAW2011_Ratio H/L_1,,
RCJD2014_20min_3,,0.552895219749881
AH2018_LFQ_3_C,,
JJ2018_Ratio M/L normalized pP3___2,,
AMK2021_45I_p1,,
NJH2025_Sub8_HIIT_Post,,
AH2018_LFQ_M_3_X,,
YA2020_Reporter_intensity_Cancer_No.4,,
KS2014_Intensity pY_E5_2,,
FSO2013_Ratio H/L normalized Rep1___3,,0.4899080986058807
GF2025_P4_Sph,,0.5544861440293444
RB2022_2_PreEndurance,,
JW2021_Before_1,,
KBE2022_Log2_Ex_25_T,,0.5570699126338021
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,
MV2014_Ratio L/M normalized A2___2 (10 min),,0.5365384512038389
JJ2018_Ratio M/L normalized___1,,
FR2021_Intensity.H,,0.5487691161015682
CK2022_14 16-1,,0.5372104690208979
AST2020_anti-CD3+PDL2,,0.5403558452144757
MV2014_Ratio M/L normalized B1___1 (5 min),,
KBE2022_Log2_Ex_19_T,,0.5514948290776266
KS2014_Intensity pY_N1,,
RB2022_1_RecoveryEndurance,,
FSO2013_Ratio H/M normalized Rep1___2,,0.538888750371976
HS2024_8_I_T1,,0.5261061978770795
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,
EP2017_Mitotic R#2 log2 ratio,,0.5234167253083318
AH2018_TMTMS2_1_X,,
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,,0.5459608458220903
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,
HS2024_6_I_N2,,0.5698795585606204
HH2022_Reporter intensity 4,,
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,,0.5397839031779211
MV2014_Ratio L/H normalized B3___2 (5 min),,0.5446178447763032
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,0.514811949195223
HS2024_4_I_T3,,0.5931744962111227
AH2018_SILAC_1_X,,
PG2020_Intensity 10h_B,,0.5446869102147964
AH2018_TMTMS3_1_X,,
CF2017_FTE 14,,0.5250266897896998
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,0.5189379498192536
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,,0.5575143514482529
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,0.5491800794352506
EP2017_Untreated R#2 normalized log2 ratio,,0.5591772734542274
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,0.542506257944157
HS2024_5_I_N2,,0.5907338398761185
SAS2015_PLX/AZD_Exp3,,0.5372748960220649
EP2017_Pervanadate R#2 log2 ratio,,0.5444010019450574
AS2011_Ratio H/L Normalized RNAi_2_1,,
