DatasetName,PHF8_S(1018) PHF8_S(1021) PHF8_S(1024) PHF8_S(120) PHF8_S(343) PHF8_S(366) PHF8_S(720) PHF8_S(722) PHF8_S(725) PHF8_S(743) PHF8_S(748) PHF8_S(751) PHF8_S(768) PHF8_S(772) PHF8_S(804) PHF8_S(818) PHF8_S(820) PHF8_S(821) PHF8_S(827) PHF8_S(834) PHF8_S(838) PHF8_S(84) PHF8_S(843) PHF8_S(844) PHF8_S(846) PHF8_S(854) PHF8_S(857) PHF8_S(871) PHF8_S(872) PHF8_S(880) PHF8_S(884) PHF8_S(889) PHF8_S(892) PHF8_S(894) PHF8_S(933) PHF8_S(985) PHF8_T(568) PHF8_T(569) PHF8_T(705) PHF8_T(82) PHF8_T(833) PHF8_T(850) PHF8_T(86) PHF8_T(882) PHF8_T(886) PHF8_T(932) PHF8_T(971),PHF8_S(651) PHF8_S(717) PHF8_T(800)
FSO2013_Ratio M/L normalized Rep3___1,0.5234316397569286,
SR2019_JIMT1_Biol_repl_4,0.5227638359178056,
YP2020_Intensity C10_R2_mult_log2,,
ZCP2016_Ratio H/L Rep 2,,
CF2017_EOC 4,0.5241007634069247,
JJ2018_Ratio H/L normalized pP1___1,,
WZ2023_Pe_010_30min,0.5278585151659847,
MV2014_Ratio L/M normalized B2___3 (30 min),,
AH2018_LFQ_IT_3_N,0.521814120698324,
KS2014_Intensity C6,0.5248769086082608,
ZQ2022_N3,,
HW2015_Ratio H/L normalized Exp1,,
CK2022_12 40-1,0.5239602717601854,
NJH2024_Sub7_MICT_Pre,,
ZX2022_Control Replicate 1,,
JJ2018_Ratio H/M normalized pP1,,
CK2022_16 40-1,0.5243323601996346,
AH2018_SILAC_IT_2_C,0.5227283832298754,
CK2022_5 40-1,0.5224023604354994,
AH2018_LFQ_3_X,0.5210271414339427,
UK2020_UA_3,,
LY2019_P7-,0.5330171893341639,
GF2025_P5_Adh,0.5254116377855007,
RB2022_1_PostStrength,,
JAW2011_Ratio H/L LS1b,,
FSO2013_Ratio H/L normalized Rep3___1,0.522823405478189,
SR2019_HCC1954_Biol_repl_3,,
CR2017_Ratio Replicate 2.2,0.5254761698352538,
VOI2024_0.1uM 2 h_1 mono,,
MV2014_Ratio L/M normalized A2___1 (10 min),,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,
CK2022_11 16-1,0.5249703731980433,
ZQ2022_C1,,
CR2017_Ratio Replicate 2.1,0.5250107944750341,
PG2020_Intensity CT_B,0.5217878390140578,
JJ2018_Ratio M/L normalized___2,,
AH2018_SILAC_MR_1_N,0.5186188548025317,
KS2014_Intensity pY_E5_1,,
JW2021_Before_3,0.5298627572445856,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,
MV2014_Ratio M/H normalized B3___3 (30 min),,
FS2019_db/db1,0.5262524106597545,
NJH2025_Sub9_HIIT_Pre,,
JAW2011_Ratio H/L_1,,
RCJD2014_20min_3,,
AH2018_LFQ_3_C,0.5212984554367547,
JJ2018_Ratio M/L normalized pP3___2,,
AMK2021_45I_p1,,
NJH2025_Sub8_HIIT_Post,,
AH2018_LFQ_M_3_X,0.5213731338385731,
YA2020_Reporter_intensity_Cancer_No.4,0.5228103408830828,
KS2014_Intensity pY_E5_2,,
FSO2013_Ratio H/L normalized Rep1___3,,
GF2025_P4_Sph,0.5237115528253743,
RB2022_2_PreEndurance,,
JW2021_Before_1,0.5247961862759855,
KBE2022_Log2_Ex_25_T,,
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,
MV2014_Ratio L/M normalized A2___2 (10 min),,
JJ2018_Ratio M/L normalized___1,,
FR2021_Intensity.H,,
CK2022_14 16-1,0.5246329319792183,
AST2020_anti-CD3+PDL2,0.5242247586459209,
MV2014_Ratio M/L normalized B1___1 (5 min),,
KBE2022_Log2_Ex_19_T,,
KS2014_Intensity pY_N1,,
RB2022_1_RecoveryEndurance,,
FSO2013_Ratio H/M normalized Rep1___2,,
HS2024_8_I_T1,,
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,
EP2017_Mitotic R#2 log2 ratio,0.5199059423769459,
AH2018_TMTMS2_1_X,0.5238318774715132,
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,
ZCP2016_Ratio H/L Rep 3,,
AS2011_Ratio H/L Normalized RNAi_1_3,,
SR2019_MCF10A_Biol_repl_1,,
NJH2025_Sub8_MICT_Mid,,
EJN2021_5_Ex_Ins,,
HS2024_6_I_N2,,
HH2022_Reporter intensity 4,,
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,0.5243218147858231,
HS2024_4_I_T3,,
AH2018_SILAC_1_X,0.5230310678266864,
PG2020_Intensity 10h_B,0.5152217891048879,
AH2018_TMTMS3_1_X,0.5304118655713799,
CF2017_FTE 14,0.5247200078216959,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.5203396796065681,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.5304593131058266,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,0.5206649252126633,
HS2024_5_I_N2,,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.5230870154886623,
AS2011_Ratio H/L Normalized RNAi_2_1,,
