DatasetName,PHC1_S(645) PHC1_S(664) PHC1_S(669) PHC1_S(786) PHC1_S(862) PHC1_T(922),PHC1_S(662) PHC1_T(918),PHC1_S(327) PHC1_S(815) PHC1_S(898)
AH2018_LFQ_IT_3_N,,,
KS2014_Intensity C6,0.5152751003477914,,
ZQ2022_N3,,,
HW2015_Ratio H/L normalized Exp1,,,
CK2022_12 40-1,,,
NJH2024_Sub7_MICT_Pre,,,
ZX2022_Control Replicate 1,,,
JJ2018_Ratio H/M normalized pP1,,,
CK2022_16 40-1,,,
AH2018_SILAC_IT_2_C,0.49723414826910495,,
CK2022_5 40-1,,,
AH2018_LFQ_3_X,0.487993869540355,,
UK2020_UA_3,,,
LY2019_P7-,0.49116524471667616,,
GF2025_P5_Adh,,,
RB2022_1_PostStrength,,,
JAW2011_Ratio H/L LS1b,,,
FSO2013_Ratio H/L normalized Rep3___1,,,
SR2019_HCC1954_Biol_repl_3,,,
CR2017_Ratio Replicate 2.2,,,
VOI2024_0.1uM 2 h_1 mono,,,
MV2014_Ratio L/M normalized A2___1 (10 min),,,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,,
CK2022_11 16-1,,,
ZQ2022_C1,,,
CR2017_Ratio Replicate 2.1,,,
PG2020_Intensity CT_B,,,
JJ2018_Ratio M/L normalized___2,,,
AH2018_SILAC_MR_1_N,,,0.4585668482788036
KS2014_Intensity pY_E5_1,,,
JW2021_Before_3,,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,,
MV2014_Ratio M/H normalized B3___3 (30 min),,,
FS2019_db/db1,,,
NJH2025_Sub9_HIIT_Pre,,,
JAW2011_Ratio H/L_1,,,
RCJD2014_20min_3,,,
AH2018_LFQ_3_C,,,
JJ2018_Ratio M/L normalized pP3___2,,,
AMK2021_45I_p1,,,
NJH2025_Sub8_HIIT_Post,,,
AH2018_LFQ_M_3_X,0.4952722732897643,,0.450989290501026
YA2020_Reporter_intensity_Cancer_No.4,,,
KS2014_Intensity pY_E5_2,,,
FSO2013_Ratio H/L normalized Rep1___3,,,
GF2025_P4_Sph,,,
RB2022_2_PreEndurance,,,
JW2021_Before_1,,,
KBE2022_Log2_Ex_25_T,0.4993733220426542,,
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,,
MV2014_Ratio L/M normalized A2___2 (10 min),,,
JJ2018_Ratio M/L normalized___1,,,
FR2021_Intensity.H,,,
CK2022_14 16-1,,,
AST2020_anti-CD3+PDL2,,,
MV2014_Ratio M/L normalized B1___1 (5 min),,,
KBE2022_Log2_Ex_19_T,0.4910527321461779,,
KS2014_Intensity pY_N1,,,
RB2022_1_RecoveryEndurance,,,
FSO2013_Ratio H/M normalized Rep1___2,,,
HS2024_8_I_T1,0.48444085933525155,,
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,,
EP2017_Mitotic R#2 log2 ratio,0.4916239155955711,,0.4088631524501687
AH2018_TMTMS2_1_X,0.5177493561643974,0.5208978016773708,0.44926131192071245
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,,
ZCP2016_Ratio H/L Rep 3,,,
AS2011_Ratio H/L Normalized RNAi_1_3,,,
SR2019_MCF10A_Biol_repl_1,,,
NJH2025_Sub8_MICT_Mid,,,
EJN2021_5_Ex_Ins,,,
HS2024_6_I_N2,,,
HH2022_Reporter intensity 4,,,
RBK2021_1326T Late,,,
TM2022_mock.12h.B,,,
NJH2024_Sub12_MICT_Pre,,,
RCJD2014_15min_3,,,
MV2014_Ratio L/H normalized B3___2 (5 min),,,
LG2023_Control-3_intensity,,,
JJ2018_Ratio H/L normalized pP3___2,,,
CF2017_FTE 15,,,
HS2024_4_I_T3,,,
AH2018_SILAC_1_X,0.5000876656187866,,
PG2020_Intensity 10h_B,,,
AH2018_TMTMS3_1_X,0.48863061737673047,,
CF2017_FTE 14,,,
NJH2024_Sub13_HIIT_Post,,,
RM2024_Intensity D6-3___3,,,
NJH2025_Sub7_HIIT_Pre,,,
RBK2021_1259T Early,,,
RKK2015_IKK+TNF-α/IKKb,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,,
PG2020_Intensity 6h_A,,,
SR2019_HCC1419_Biol_repl_3,,,
KBE2022_Log2_Ex_14_T,0.4977360541347282,,
EP2017_Untreated R#2 normalized log2 ratio,0.5410446385123729,,0.47934613685115157
RM2024_Intensity D0-2___1,,,
DB2022_Intensity L1,,,
LY2019_P5+,0.49638572031293765,,
HS2024_5_I_N2,0.5474138934577982,0.6622287669966784,
SAS2015_PLX/AZD_Exp3,,,
EP2017_Pervanadate R#2 log2 ratio,0.5225256226022764,,0.4761200141832544
AS2011_Ratio H/L Normalized RNAi_2_1,,,
