DatasetName,MIGA2_S(266) MIGA2_T(206) MIGA2_T(218),MIGA2_S(124) MIGA2_S(125) MIGA2_S(203) MIGA2_S(228) MIGA2_T(119),MIGA2_M(273) MIGA2_M(276) MIGA2_S(107) MIGA2_S(111) MIGA2_S(116) MIGA2_S(214) MIGA2_S(220) MIGA2_S(224) MIGA2_S(276)
MV2014_Ratio H/M normalized B2___1 (5 min),,,
FSO2013_Ratio M/L normalized Rep2___3,,,
JC2019_Normalised_intensity_C_TiOx_Testis_sample_URO0158,,,
SR2019_MCF10A_Biol_repl_3,,,
HS2024_7_B_T2,,,
SAS2015_PLX/DMSO_Exp3,,,
AMK2021_Ctrl_p5,,,
NJH2025_Sub2_HIIT_Mid,,,
AH2018_LFQ_M_3_C,,,0.5460708236299375
CKC2017_log2 normalized phosphoproteomics_15min_rep#2,,,
YA2020_Reporter_intensity_Cancer_No.2,,,0.5391696966903976
FSO2013_Ratio H/M normalized Rep2___3,,,
RB2022_8_PreSprint,,,0.5352588062125493
AH2018_SILAC_IT_3_C,,,0.5452829559963814
WZ2023_Pu_025_10min,0.19114874302454377,0.41863212233951064,0.5648448087269026
RM2024_Intensity D2-2___3,,,
AS2011_Ratio H/L_1,,,
RCJD2014_10min_3,,0.4284297785959071,0.581889901924916
FSO2013_Ratio M/L normalized Rep3___1,,,
SR2019_JIMT1_Biol_repl_4,,,
YP2020_Intensity C10_R2_mult_log2,,,
ZCP2016_Ratio H/L Rep 2,,,
CF2017_EOC 4,,,0.5335608882568807
JJ2018_Ratio H/L normalized pP1___1,,,
WZ2023_Pe_010_30min,0.19638380845440037,0.4078528498021966,0.5603592699326203
MV2014_Ratio L/M normalized B2___3 (30 min),,,
AH2018_LFQ_IT_3_N,,,0.531134547095199
KS2014_Intensity C6,,,0.5620296461840406
ZQ2022_N3,,,0.5380487080080529
HW2015_Ratio H/L normalized Exp1,,,
CK2022_12 40-1,,,
NJH2024_Sub7_MICT_Pre,,,
ZX2022_Control Replicate 1,,0.43896377962094907,0.5649298335034838
JJ2018_Ratio H/M normalized pP1,,,
CK2022_16 40-1,,,
AH2018_SILAC_IT_2_C,,,0.5467120787930744
CK2022_5 40-1,,,
AH2018_LFQ_3_X,,,0.5266241299203435
UK2020_UA_3,,,
LY2019_P7-,,,0.5215042412973893
GF2025_P5_Adh,,,0.5301332708139623
RB2022_1_PostStrength,,,
JAW2011_Ratio H/L LS1b,,,
FSO2013_Ratio H/L normalized Rep3___1,,,
SR2019_HCC1954_Biol_repl_3,,,
CR2017_Ratio Replicate 2.2,,,0.5522601769261498
VOI2024_0.1uM 2 h_1 mono,,,
MV2014_Ratio L/M normalized A2___1 (10 min),,,
RNJ2017_Log2_ratio_Tsup:Tstim_D3,,,
CK2022_11 16-1,,,
ZQ2022_C1,,,0.5415008532585524
CR2017_Ratio Replicate 2.1,,,0.5343027556474665
PG2020_Intensity CT_B,,,
JJ2018_Ratio M/L normalized___2,,,
AH2018_SILAC_MR_1_N,,,0.5353955719595663
KS2014_Intensity pY_E5_1,,,
JW2021_Before_3,,,
NJH2015_iTRAQ Subject 2 117/116 (Exercise/Basal) (normalized),,,
MV2014_Ratio M/H normalized B3___3 (30 min),,,
FS2019_db/db1,,,
NJH2025_Sub9_HIIT_Pre,,,
JAW2011_Ratio H/L_1,,,
RCJD2014_20min_3,,0.42293340778551125,0.5771002632558491
AH2018_LFQ_3_C,,,0.5342640088017152
JJ2018_Ratio M/L normalized pP3___2,,,
AMK2021_45I_p1,,,
NJH2025_Sub8_HIIT_Post,,,
AH2018_LFQ_M_3_X,,,0.5370687548059686
YA2020_Reporter_intensity_Cancer_No.4,,,0.5457648282181133
KS2014_Intensity pY_E5_2,,,
FSO2013_Ratio H/L normalized Rep1___3,,,
GF2025_P4_Sph,,,0.5433993090041992
RB2022_2_PreEndurance,,,
JW2021_Before_1,,,
KBE2022_Log2_Ex_25_T,,,
AS2011_Ratio H/L Normalized by Proteins Inhi_2,,,
MV2014_Ratio L/M normalized A2___2 (10 min),,,
JJ2018_Ratio M/L normalized___1,,,
FR2021_Intensity.H,,,
CK2022_14 16-1,,,
AST2020_anti-CD3+PDL2,,,
MV2014_Ratio M/L normalized B1___1 (5 min),,,
KBE2022_Log2_Ex_19_T,,,
KS2014_Intensity pY_N1,,,
RB2022_1_RecoveryEndurance,,,
FSO2013_Ratio H/M normalized Rep1___2,,,
HS2024_8_I_T1,,,
NJH2015_iTRAQ Subject 1 115/114 (Exercise/Basal) (normalized),,,
EP2017_Mitotic R#2 log2 ratio,,,0.5126910303329333
AH2018_TMTMS2_1_X,,,0.56362428519259
KTGR2014_Ratio M L Normalized Rep2_AA_starvation_0_15,,,
ZCP2016_Ratio H/L Rep 3,,,
AS2011_Ratio H/L Normalized RNAi_1_3,,,
SR2019_MCF10A_Biol_repl_1,,,
NJH2025_Sub8_MICT_Mid,,,
EJN2021_5_Ex_Ins,,,
HS2024_6_I_N2,,,
HH2022_Reporter intensity 4,,,0.5367722651730222
RBK2021_1326T Late,,,
TM2022_mock.12h.B,,,
NJH2024_Sub12_MICT_Pre,,,
RCJD2014_15min_3,,0.38559766168238047,0.5397352281394014
MV2014_Ratio L/H normalized B3___2 (5 min),,,
LG2023_Control-3_intensity,,,
JJ2018_Ratio H/L normalized pP3___2,,,
CF2017_FTE 15,,,0.5343507682917631
HS2024_4_I_T3,,,
AH2018_SILAC_1_X,,,0.5426139671469072
PG2020_Intensity 10h_B,,,
AH2018_TMTMS3_1_X,,,0.552292661814644
CF2017_FTE 14,,,0.5448725333217362
NJH2024_Sub13_HIIT_Post,,,
RM2024_Intensity D6-3___3,,,
NJH2025_Sub7_HIIT_Pre,,,
RBK2021_1259T Early,,,
RKK2015_IKK+TNF-α/IKKb,,,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,,
PG2020_Intensity 6h_A,,,0.5294863178822087
SR2019_HCC1419_Biol_repl_3,,,
KBE2022_Log2_Ex_14_T,,,
EP2017_Untreated R#2 normalized log2 ratio,,,0.5077116730413285
RM2024_Intensity D0-2___1,,,
DB2022_Intensity L1,,,
LY2019_P5+,,,0.5326966351397312
HS2024_5_I_N2,,,
SAS2015_PLX/AZD_Exp3,,,
EP2017_Pervanadate R#2 log2 ratio,,,0.5218174372989088
AS2011_Ratio H/L Normalized RNAi_2_1,,,
