DatasetName,DNAJC9_S(109) DNAJC9_S(215) DNAJC9_S(27),DNAJC9_S(39)
RBK2021_1326T Late,,
TM2022_mock.12h.B,,
NJH2024_Sub12_MICT_Pre,,
RCJD2014_15min_3,0.5035398203074211,
MV2014_Ratio L/H normalized B3___2 (5 min),,
LG2023_Control-3_intensity,,
JJ2018_Ratio H/L normalized pP3___2,,
CF2017_FTE 15,,
HS2024_4_I_T3,,
AH2018_SILAC_1_X,,
PG2020_Intensity 10h_B,0.414393547493301,
AH2018_TMTMS3_1_X,0.525854030284509,
CF2017_FTE 14,,
NJH2024_Sub13_HIIT_Post,,
RM2024_Intensity D6-3___3,,
NJH2025_Sub7_HIIT_Pre,,
RBK2021_1259T Early,,
RKK2015_IKK+TNF-α/IKKb,0.5234538692573912,
FSO2012_Ratio -/+ 3-MB-PP1 exp. as1b,,
PG2020_Intensity 6h_A,0.5133890071426122,
SR2019_HCC1419_Biol_repl_3,,
KBE2022_Log2_Ex_14_T,,
EP2017_Untreated R#2 normalized log2 ratio,0.536982679680883,
RM2024_Intensity D0-2___1,,
DB2022_Intensity L1,,
LY2019_P5+,,
HS2024_5_I_N2,0.5487711409398235,
SAS2015_PLX/AZD_Exp3,,
EP2017_Pervanadate R#2 log2 ratio,0.5952579587207686,
AS2011_Ratio H/L Normalized RNAi_2_1,,
